"method","path","controller","methodName","mobile","admin_dashboard","brand_dashboard"
"GET","/api/v1/admin/campaign-management/deliverables","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","listAllDeliverables","","",""
"POST","/api/v1/admin/campaign-management/deliverables/{param}/review","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","reviewDeliverable","","admin-dashboard\lib\api\admin\campaign-management.ts",""
"GET","/api/v1/admin/campaign-management/templates","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","listTemplates","","",""
"POST","/api/v1/admin/campaign-management/templates","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","createTemplate","","",""
"DELETE","/api/v1/admin/campaign-management/templates/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","deleteTemplate","","admin-dashboard\lib\api\admin\campaign-management.ts",""
"GET","/api/v1/admin/campaign-management/templates/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","getTemplate","","",""
"PUT","/api/v1/admin/campaign-management/templates/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","updateTemplate","","",""
"POST","/api/v1/admin/campaign-management/templates/from-campaign/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","createTemplateFromCampaign","","",""
"PUT","/api/v1/admin/campaigns/{param}/approve","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignReviewController.java","approveCampaign","","",""
"PUT","/api/v1/admin/campaigns/{param}/reject","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignReviewController.java","rejectCampaign","","",""
"GET","/api/v1/admin/campaigns/pending","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignReviewController.java","listPending","","",""
"GET","/api/v1/admin/compliance/gdpr","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminComplianceController.java","listRequests","","",""
"PUT","/api/v1/admin/compliance/gdpr/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminComplianceController.java","updateRequest","","",""
"POST","/api/v1/admin/compliance/gdpr/{param}/anonymize","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminComplianceController.java","anonymizeUser","","",""
"POST","/api/v1/admin/compliance/gdpr/{param}/export","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminComplianceController.java","generateExport","","",""
"GET","/api/v1/admin/compliance/reports","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminComplianceReportController.java","listReports","","",""
"POST","/api/v1/admin/compliance/reports/regulatory","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminComplianceReportController.java","generateRegulatoryReport","","",""
"POST","/api/v1/admin/compliance/reports/tax","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminComplianceReportController.java","generateTaxReport","","",""
"GET","/api/v1/admin/finance/reports/campaigns","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminFinanceController.java","getCampaignReport","","",""
"GET","/api/v1/admin/finance/reports/export","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminFinanceController.java","exportReport","","",""
"GET","/api/v1/admin/finance/reports/period","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminFinanceController.java","getPeriodReport","","",""
"GET","/api/v1/admin/finance/reports/users","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminFinanceController.java","getUserReport","","",""
"GET","/api/v1/admin/finance/summary","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminFinanceController.java","getSummary","","",""
"GET","/api/v1/admin/messages/conversations","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminMessageController.java","listConversations","","",""
"GET","/api/v1/admin/messages/conversations/{param}/messages","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminMessageController.java","getMessages","","",""
"POST","/api/v1/admin/messages/conversations/{param}/messages","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminMessageController.java","sendMessage","","",""
"GET","/api/v1/admin/moderation/flags","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminModerationController.java","listFlags","","",""
"POST","/api/v1/admin/moderation/flags","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminModerationController.java","flagCampaign","","",""
"PUT","/api/v1/admin/moderation/flags/{param}/resolve","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminModerationController.java","resolveFlag","","",""
"GET","/api/v1/admin/moderation/rules","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminModerationController.java","listRules","","",""
"POST","/api/v1/admin/moderation/rules","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminModerationController.java","createRule","","",""
"DELETE","/api/v1/admin/moderation/rules/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminModerationController.java","deleteRule","","admin-dashboard\lib\api\admin\moderation.ts","brand-dashboard\lib\api\admin\moderation.ts"
"PUT","/api/v1/admin/moderation/rules/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminModerationController.java","updateRule","","",""
"GET","/api/v1/admin/moderation/rules/{param}/test","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminModerationController.java","testRule","","",""
"DELETE","/api/v1/admin/permissions/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminPermissionController.java","revokePermission","","",""
"GET","/api/v1/admin/permissions/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminPermissionController.java","listPermissions","","",""
"POST","/api/v1/admin/permissions/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminPermissionController.java","grantPermission","","",""
"PUT","/api/v1/admin/permissions/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminPermissionController.java","replacePermissions","","",""
"PUT","/api/v1/admin/profiles/brand/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminProfileController.java","updateBrandProfile","","",""
"PUT","/api/v1/admin/profiles/creator/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminProfileController.java","updateCreatorProfile","","",""
"PUT","/api/v1/admin/profiles/user/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminProfileController.java","updateUserProfile","","",""
"GET","/api/v1/admin/settings","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminSettingsController.java","listSettings","","",""
"PUT","/api/v1/admin/settings","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminSettingsController.java","upsertSetting","","",""
"POST","/api/v1/admin/system/feedback","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminSystemController.java","submitFeedback","","",""
"GET","/api/v1/admin/system/health","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminSystemController.java","getHealthSummary","","",""
"POST","/api/v1/admin/system/session","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminSystemController.java","trackSession","","",""
"GET","/api/v1/admin/system/summary","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminSystemController.java","getSummary","","",""
"GET","/api/v1/admin/users","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminUserController.java","listUsers","","",""
"PUT","/api/v1/admin/users/{param}/status","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminUserController.java","updateStatus","","",""
"GET","/api/v1/admin/users/appeals","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminUserController.java","listAppeals","","",""
"PUT","/api/v1/admin/users/appeals/{param}/resolve","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminUserController.java","resolveAppeal","","",""
"GET","/api/v1/appeals","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AppealController.java","listAppeals","","",""
"POST","/api/v1/appeals","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AppealController.java","submitAppeal","","",""
"GET","/api/v1/applications","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ApplicationController.java","getApplications","","","brand-dashboard\lib\api\applications.ts"
"POST","/api/v1/applications","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ApplicationController.java","submitApplication","","",""
"DELETE","/api/v1/applications/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ApplicationController.java","withdrawApplication","src\api\services\applicationService.ts","",""
"GET","/api/v1/applications/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ApplicationController.java","getApplicationById","","",""
"POST","/api/v1/applications/{param}/reject","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ApplicationController.java","rejectApplication","","",""
"POST","/api/v1/applications/{param}/select","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ApplicationController.java","selectApplication","","",""
"POST","/api/v1/applications/{param}/shortlist","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ApplicationController.java","shortlistApplication","","",""
"PUT","/api/v1/applications/{param}/status","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ApplicationController.java","updateApplicationStatus","","",""
"POST","/api/v1/applications/bulk-status","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ApplicationController.java","bulkUpdateStatus","","admin-dashboard\lib\api\applications.ts","brand-dashboard\lib\api\applications.ts"
"POST","/api/v1/auth/link-supabase-user","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AuthController.java","linkSupabaseUser","","",""
"POST","/api/v1/auth/login","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AuthController.java","login","","",""
"GET","/api/v1/auth/me","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AuthController.java","getCurrentUser","","",""
"POST","/api/v1/auth/register","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AuthController.java","register","","",""
"POST","/api/v1/auth/verify-email","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AuthController.java","verifyEmail","","",""
"POST","/api/v1/auth/verify-phone","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AuthController.java","verifyPhone","","",""
"GET","/api/v1/brand-verification/admin/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\BrandVerificationController.java","getAdminDetail","","",""
"POST","/api/v1/brand-verification/bulk-review","backend\creatorx-api\src\main\java\com\creatorx\api\controller\BrandVerificationController.java","bulkReview","","",""
"GET","/api/v1/brand-verification/pending","backend\creatorx-api\src\main\java\com\creatorx\api\controller\BrandVerificationController.java","getPending","","",""
"POST","/api/v1/brand-verification/review/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\BrandVerificationController.java","reviewDocument","","",""
"GET","/api/v1/brand-verification/status","backend\creatorx-api\src\main\java\com\creatorx\api\controller\BrandVerificationController.java","getStatus","","",""
"POST","/api/v1/brand-verification/submit","backend\creatorx-api\src\main\java\com\creatorx\api\controller\BrandVerificationController.java","submitGstDocument","","",""
"GET","/api/v1/campaigns","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","getCampaigns","","",""
"POST","/api/v1/campaigns","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","createCampaign","","",""
"DELETE","/api/v1/campaigns/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","deleteCampaign","","admin-dashboard\lib\api\campaigns.ts","brand-dashboard\lib\api\campaigns.ts"
"GET","/api/v1/campaigns/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","getCampaignById","","",""
"PUT","/api/v1/campaigns/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","updateCampaign","","",""
"GET","/api/v1/campaigns/{param}/analytics","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignAnalyticsController.java","getCampaignAnalytics","","admin-dashboard\lib\api\analytics.ts","brand-dashboard\lib\api\analytics.ts"
"GET","/api/v1/campaigns/{param}/applications","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","getCampaignApplications","","",""
"GET","/api/v1/campaigns/{param}/deliverables","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","getCampaignDeliverables","","admin-dashboard\lib\api\deliverables.ts","brand-dashboard\lib\api\deliverables.ts"
"POST","/api/v1/campaigns/{param}/invite","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","inviteCreator","","admin-dashboard\lib\api\creators.ts","brand-dashboard\lib\api\creators.ts"
"DELETE","/api/v1/campaigns/{param}/save","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","unsaveCampaign","src\api\services\campaignService.ts","",""
"POST","/api/v1/campaigns/{param}/save","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","saveCampaign","src\api\services\campaignService.ts","",""
"GET","/api/v1/campaigns/active","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","getActiveCampaigns","","",""
"GET","/api/v1/campaigns/saved","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","getSavedCampaigns","","",""
"GET","/api/v1/campaigns/search","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignController.java","searchCampaigns","","",""
"GET","/api/v1/campaign-templates","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignTemplateController.java","getTemplates","","",""
"POST","/api/v1/campaign-templates","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignTemplateController.java","createTemplate","","",""
"DELETE","/api/v1/campaign-templates/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignTemplateController.java","deleteTemplate","","admin-dashboard\lib\api\templates.ts","brand-dashboard\lib\api\templates.ts"
"GET","/api/v1/campaign-templates/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignTemplateController.java","getTemplate","","admin-dashboard\lib\api\templates.ts","brand-dashboard\lib\api\templates.ts"
"PUT","/api/v1/campaign-templates/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignTemplateController.java","updateTemplate","","admin-dashboard\lib\api\templates.ts","brand-dashboard\lib\api\templates.ts"
"POST","/api/v1/campaign-templates/from-campaign/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CampaignTemplateController.java","createFromCampaign","","admin-dashboard\lib\api\templates.ts","brand-dashboard\lib\api\templates.ts"
"GET","/api/v1/compliance/gdpr","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ComplianceController.java","listRequests","","",""
"POST","/api/v1/compliance/gdpr","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ComplianceController.java","submitRequest","","",""
"GET","/api/v1/conversations","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ConversationController.java","getConversations","","",""
"PUT","/api/v1/conversations/{param}/mark-read","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ConversationController.java","markRead","src\api\services\messagingService.ts","admin-dashboard\lib\api\messages.ts","brand-dashboard\lib\api\messages.ts"
"GET","/api/v1/conversations/{param}/messages","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ConversationController.java","getMessages","","",""
"POST","/api/v1/conversations/{param}/messages","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ConversationController.java","sendMessage","","",""
"GET","/api/v1/conversations/application/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ConversationController.java","getConversationByApplication","","",""
"GET","/api/v1/conversations/unread-count","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ConversationController.java","getUnreadCount","","",""
"GET","/api/v1/creator/social-accounts","backend\creatorx-api\src\main\java\com\creatorx\api\controller\SocialAccountController.java","getAccounts","","",""
"POST","/api/v1/creator/social-accounts/{param}/disconnect","backend\creatorx-api\src\main\java\com\creatorx\api\controller\SocialAccountController.java","disconnect","src\api\services\socialConnectService.ts","",""
"POST","/api/v1/creator/social-accounts/{param}/refresh","backend\creatorx-api\src\main\java\com\creatorx\api\controller\SocialAccountController.java","refresh","src\api\services\socialConnectService.ts","",""
"GET","/api/v1/creators","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CreatorController.java","searchCreators","","",""
"GET","/api/v1/creators/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\CreatorController.java","getCreatorById","","admin-dashboard\lib\api\creators.ts","brand-dashboard\lib\api\creators.ts"
"GET","/api/v1/deliverables","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DeliverableController.java","getDeliverables","","",""
"POST","/api/v1/deliverables","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DeliverableController.java","submitDeliverable","","",""
"PUT","/api/v1/deliverables/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DeliverableController.java","resubmitDeliverable","","",""
"GET","/api/v1/deliverables/{param}/history","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DeliverableController.java","getDeliverableHistory","","admin-dashboard\lib\api\deliverables.ts","brand-dashboard\lib\api\deliverables.ts"
"POST","/api/v1/deliverables/{param}/review","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DeliverableController.java","reviewDeliverable","","admin-dashboard\lib\api\deliverables.ts","brand-dashboard\lib\api\deliverables.ts"
"GET","/api/v1/disputes","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","listDisputes","","",""
"POST","/api/v1/disputes","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","createDispute","","",""
"PUT","/api/v1/disputes/{param}/assign","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","assignDispute","","",""
"GET","/api/v1/disputes/{param}/evidence","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","listEvidence","","",""
"POST","/api/v1/disputes/{param}/evidence","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","addEvidence","","",""
"GET","/api/v1/disputes/{param}/evidence/admin","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","listEvidenceForAdmin","","",""
"GET","/api/v1/disputes/{param}/notes","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","listInternalNotes","","",""
"POST","/api/v1/disputes/{param}/notes","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","addInternalNote","","",""
"PUT","/api/v1/disputes/{param}/resolve","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","resolveDispute","","",""
"GET","/api/v1/disputes/admin","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","listDisputesForAdmin","","",""
"GET","/api/v1/disputes/admin/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\DisputeController.java","getDisputeForAdmin","","",""
"GET","/api/v1/health","backend\creatorx-api\src\main\java\com\creatorx\api\controller\HealthController.java","health","","",""
"GET","/api/v1/kyc/documents","backend\creatorx-api\src\main\java\com\creatorx\api\controller\KYCController.java","getKYCDocuments","","",""
"PUT","/api/v1/kyc/documents/{param}/approve","backend\creatorx-api\src\main\java\com\creatorx\api\controller\KYCController.java","approveKYC","","admin-dashboard\lib\api\admin\kyc.ts","brand-dashboard\lib\api\admin\kyc.ts"
"PUT","/api/v1/kyc/documents/{param}/reject","backend\creatorx-api\src\main\java\com\creatorx\api\controller\KYCController.java","rejectKYC","","admin-dashboard\lib\api\admin\kyc.ts","brand-dashboard\lib\api\admin\kyc.ts"
"POST","/api/v1/kyc/documents/bulk-review","backend\creatorx-api\src\main\java\com\creatorx\api\controller\KYCController.java","bulkReview","","",""
"GET","/api/v1/kyc/pending","backend\creatorx-api\src\main\java\com\creatorx\api\controller\KYCController.java","getPendingDocuments","","",""
"GET","/api/v1/kyc/status","backend\creatorx-api\src\main\java\com\creatorx\api\controller\KYCController.java","getKYCStatus","","",""
"POST","/api/v1/kyc/submit","backend\creatorx-api\src\main\java\com\creatorx\api\controller\KYCController.java","submitKYC","","",""
"GET","/api/v1/messages/conversation/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\MessageController.java","getMessages","","",""
"PUT","/api/v1/messages/conversation/{param}/read","backend\creatorx-api\src\main\java\com\creatorx\api\controller\MessageController.java","markAsRead","","",""
"GET","/api/v1/messages/conversations","backend\creatorx-api\src\main\java\com\creatorx\api\controller\MessageController.java","getConversations","","",""
"GET","/api/v1/messages/conversations/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\MessageController.java","getConversation","","",""
"GET","/api/v1/messages/conversations/application/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\MessageController.java","getConversationByApplication","","",""
"GET","/api/v1/messages/unread-count","backend\creatorx-api\src\main\java\com\creatorx\api\controller\MessageController.java","getUnreadCount","","",""
"GET","/api/v1/notifications","backend\creatorx-api\src\main\java\com\creatorx\api\controller\NotificationController.java","getNotifications","","",""
"PUT","/api/v1/notifications/{param}/read","backend\creatorx-api\src\main\java\com\creatorx\api\controller\NotificationController.java","markAsRead","src\api\services\notificationService.ts","",""
"PUT","/api/v1/notifications/read-all","backend\creatorx-api\src\main\java\com\creatorx\api\controller\NotificationController.java","markAllAsRead","src\api\services\notificationService.ts","",""
"POST","/api/v1/notifications/register-device","backend\creatorx-api\src\main\java\com\creatorx\api\controller\NotificationController.java","registerDevice","","",""
"GET","/api/v1/notifications/unread-count","backend\creatorx-api\src\main\java\com\creatorx\api\controller\NotificationController.java","getUnreadCount","","",""
"DELETE","/api/v1/notifications/unregister-device/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\NotificationController.java","unregisterDevice","","",""
"POST","/api/v1/payments/orders","backend\creatorx-api\src\main\java\com\creatorx\api\controller\PaymentOrderController.java","createPaymentOrder","","",""
"GET","/api/v1/payments/orders/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\PaymentOrderController.java","getPaymentOrder","","",""
"GET","/api/v1/profile","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","getProfile","","",""
"PUT","/api/v1/profile","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","updateProfile","","",""
"POST","/api/v1/profile/avatar","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","uploadAvatar","","",""
"GET","/api/v1/profile/brand","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","getBrandProfile","","",""
"PUT","/api/v1/profile/brand","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","updateBrandProfile","","",""
"GET","/api/v1/profile/creator","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","getCreatorProfile","","",""
"PUT","/api/v1/profile/creator","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","updateCreatorProfile","","",""
"POST","/api/v1/profile/logo","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","uploadLogo","","",""
"GET","/api/v1/profile/portfolio","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","getPortfolio","","",""
"POST","/api/v1/profile/portfolio","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","addPortfolioItem","","",""
"DELETE","/api/v1/profile/portfolio/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\ProfileController.java","deletePortfolioItem","","",""
"GET","/api/v1/social/connect/{param}/callback","backend\creatorx-api\src\main\java\com\creatorx\api\controller\SocialConnectController.java","oauthCallback","","",""
"GET","/api/v1/social/connect/{param}/start","backend\creatorx-api\src\main\java\com\creatorx\api\controller\SocialConnectController.java","startOAuth","","",""
"DELETE","/api/v1/storage/delete","backend\creatorx-api\src\main\java\com\creatorx\api\controller\StorageController.java","deleteFile","","",""
"GET","/api/v1/storage/signed-url","backend\creatorx-api\src\main\java\com\creatorx\api\controller\StorageController.java","generateSignedUrl","","",""
"POST","/api/v1/storage/upload","backend\creatorx-api\src\main\java\com\creatorx\api\controller\StorageController.java","uploadFile","","",""
"POST","/api/v1/storage/upload/avatar","backend\creatorx-api\src\main\java\com\creatorx\api\controller\StorageController.java","uploadAvatar","","",""
"POST","/api/v1/storage/upload/deliverable","backend\creatorx-api\src\main\java\com\creatorx\api\controller\StorageController.java","uploadDeliverable","","",""
"POST","/api/v1/storage/upload/kyc","backend\creatorx-api\src\main\java\com\creatorx\api\controller\StorageController.java","uploadKYCDocument","","",""
"POST","/api/v1/storage/upload/portfolio","backend\creatorx-api\src\main\java\com\creatorx\api\controller\StorageController.java","uploadPortfolioItem","","",""
"GET","/api/v1/team-members","backend\creatorx-api\src\main\java\com\creatorx\api\controller\TeamMemberController.java","getTeamMembers","","",""
"DELETE","/api/v1/team-members/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\TeamMemberController.java","removeTeamMember","","admin-dashboard\lib\api\profile.ts","brand-dashboard\lib\api\profile.ts"
"POST","/api/v1/team-members/accept","backend\creatorx-api\src\main\java\com\creatorx\api\controller\TeamMemberController.java","acceptInvitation","","",""
"POST","/api/v1/team-members/invite","backend\creatorx-api\src\main\java\com\creatorx\api\controller\TeamMemberController.java","inviteTeamMember","","",""
"GET","/api/v1/wallet","backend\creatorx-api\src\main\java\com\creatorx\api\controller\WalletController.java","getWallet","","",""
